,Place Name,Latitude,Longitude,weather_next_3hrs,weather_desc_next_3hrs,temp_next_3hrs,temp_feels_next_3hrs,date_time_next_3hrs,weather_next_6hrs,weather_desc_next_6hrs,temp_next_6hrs,temp_feels_next_6hrs,date_time_next_6hrs,weather_next_9hrs,weather_desc_next_9hrs,temp_next_9hrs,temp_feels_next_9hrs,date_time_next_9hrs,weather_next_12hrs,weather_desc_next_12hrs,temp_next_12hrs,temp_feels_next_12hrs,date_time_next_12hrs
28,"Dundee, Scotland, the UK",56.462,-2.9707,Clouds,few clouds,283.57,282.65,2023-04-19 09:00:00,Clouds,scattered clouds,283.9,282.83,2023-04-19 12:00:00,Clear,clear sky,284.14,282.91,2023-04-19 15:00:00,Clear,clear sky,282.25,279.8,2023-04-19 18:00:00
29,"Derry, Northern Ireland, the UK",54.9958,-7.3074,Clouds,few clouds,281.97,278.89,2023-04-19 09:00:00,Clouds,few clouds,282.98,279.93,2023-04-19 12:00:00,Clouds,broken clouds,284.48,283.44,2023-04-19 15:00:00,Clouds,overcast clouds,284.43,283.47,2023-04-19 18:00:00
30,"Derby, Derbyshire, the UK",52.916668,-1.466667,Clouds,broken clouds,282.61,279.21,2023-04-19 09:00:00,Rain,light rain,282.87,279.71,2023-04-19 12:00:00,Clouds,broken clouds,284.32,283.27,2023-04-19 15:00:00,Clouds,scattered clouds,281.47,277.67,2023-04-19 18:00:00
31,"Coventry, West Midlands, the UK",52.408054,-1.510556,Clouds,broken clouds,282.62,279.28,2023-04-19 09:00:00,Rain,light rain,282.97,279.79,2023-04-19 12:00:00,Clouds,broken clouds,284.9,284.04,2023-04-19 15:00:00,Clouds,broken clouds,282.11,278.7,2023-04-19 18:00:00
32,"Chichester, West Sussex, the UK",50.8365,-0.7792,Clouds,overcast clouds,286.25,285.68,2023-04-19 09:00:00,Clouds,broken clouds,286.08,285.47,2023-04-19 12:00:00,Clouds,broken clouds,285.94,285.29,2023-04-19 15:00:00,Clouds,scattered clouds,283.16,282.12,2023-04-19 18:00:00
33,"Chester, Chesire, the UK",53.19,-2.89,Clouds,broken clouds,283.04,280.34,2023-04-19 09:00:00,Rain,light rain,283.99,283.14,2023-04-19 12:00:00,Rain,light rain,285.21,284.27,2023-04-19 15:00:00,Clouds,broken clouds,283.22,281.85,2023-04-19 18:00:00
34,"Chelmsford, Essex, the UK",51.7361,0.4798,Clouds,broken clouds,283.53,282.82,2023-04-19 09:00:00,Clouds,broken clouds,283.96,283.19,2023-04-19 12:00:00,Clouds,broken clouds,284.08,283.06,2023-04-19 15:00:00,Clouds,few clouds,281.81,278.24,2023-04-19 18:00:00
35,"Carlisle, North West, the UK",54.891,-2.944,Clouds,few clouds,283.17,282.29,2023-04-19 09:00:00,Clouds,few clouds,284.04,283.09,2023-04-19 12:00:00,Clouds,few clouds,285.11,284.06,2023-04-19 15:00:00,Clouds,few clouds,282.95,280.42,2023-04-19 18:00:00
36,"Canterbury, Kent, the UK",51.28,1.08,Clouds,few clouds,284.4,283.85,2023-04-19 09:00:00,Clouds,scattered clouds,284.52,283.88,2023-04-19 12:00:00,Clouds,few clouds,284.29,283.39,2023-04-19 15:00:00,Clear,clear sky,282.2,278.38,2023-04-19 18:00:00
37,"Cambridge, Cambridgeshire, the UK",52.205276,0.119167,Clouds,scattered clouds,283.33,282.6,2023-04-19 09:00:00,Clouds,broken clouds,283.92,283.12,2023-04-19 12:00:00,Clouds,scattered clouds,284.74,283.68,2023-04-19 15:00:00,Clouds,few clouds,281.92,278.54,2023-04-19 18:00:00
